95474	BG	BGS	Бургас	Бургас	true	BGS04	Бургас	Бургас	Брастите - 2	Брастите - 2	RESORT	SE	07079
95488	BG	BGS	Бургас	Бургас	true	BGS04	Бургас	Бургас	Каменица - Изворите	Каменица - Изворите	RESORT	SE	07079
95491	BG	BGS	Бургас	Бургас	true	BGS04	Бургас	Бургас	Тополите	Тополите	RESORT	SE	07079
94558	BG	BGS	Бургас	Бургас	true	BGS04	Бургас	Бургас	XI шахта	XI шахта	RESORT	SE	07079
94561	BG	BGS	Бургас	Бургас	true	BGS04	Бургас	Бургас	Острицата	Острицата	RESORT	SE	07079
94575	BG	BGS	Бургас	Бургас	true	BGS04	Бургас	Бургас	Сухото дере	Сухото дере	RESORT	SE	32425
94589	BG	BGS	Бургас	Бургас	true	BGS04	Бургас	Бургас	Каптажа	Каптажа	RESORT	SE	32425
94592	BG	BGS	Бургас	Бургас	true	BGS04	Бургас	Бургас	Лозницата	Лозницата	RESORT	SE	07332
94616	BG	BGS	Бургас	Бургас	true	BGS04	Бургас	Бургас	Пръстницата	Пръстницата	RESORT	SE	06776
94628	BG	BGS	Бургас	Бургас	true	BGS04	Бургас	Бургас	Брястите	Брястите	RESORT	SE	06776
94633	BG	BGS	Бургас	Бургас	true	BGS04	Бургас	Бургас	Лозята	Лозята	RESORT	SE	06776
94681	BG	BGS	Бургас	Бургас	true	BGS04	Бургас	Бургас	Черниците	Черниците	RESORT	SE	47202
94695	BG	BGS	Бургас	Бургас	true	BGS04	Бургас	Бургас	Училищното	Училищното	RESORT	SE	47202
94705	BG	BGS	Бургас	Бургас	true	BGS04	Бургас	Бургас	Трите кладенчета	Трите кладенчета	RESORT	SE	47202
94664	BG	BGS	Бургас	Бургас	true	BGS04	Бургас	Бургас	Заслона	Заслона	RESORT	SE	21141
94678	BG	BGS	Бургас	Бургас	true	BGS04	Бургас	Бургас	Край канала	Край канала	RESORT	SE	21141
94647	BG	BGS	Бургас	Бургас	true	BGS04	Бургас	Бургас	Батака	Батака	RESORT	SE	72151
94650	BG	BGS	Бургас	Бургас	true	BGS04	Бургас	Бургас	Върбицата	Върбицата	RESORT	SE	72151
63183	BG	BGS	Бургас	Бургас	true	BGS04	Бургас	Бургас	Рудник	Рудник	VILLAGE	SE	07079
94602	BG	BGS	Бургас	Бургас	true	BGS04	Бургас	Бургас	Бадемите	Бадемите	VILLAGE	SE	63183
94188	BG	BGS	Бургас	Бургас	true	BGS04	Бургас	Бургас	Пети километър	Пети километър	RESORT	SE	07079
03455	BG	BGS	Бургас	Бургас	true	BGS06	Средец	Средец	Белила	Белила	VILLAGE	SE	17974
04176	BG	BGS	Бургас	Бургас	true	BGS06	Средец	Средец	Бистрец	Бистрец	VILLAGE	SE	17974
04621	BG	BGS	Бургас	Бургас	true	BGS06	Средец	Средец	Богданово	Богданово	VILLAGE	SE	17974
10166	BG	BGS	Бургас	Бургас	true	BGS06	Средец	Средец	Варовник	Варовник	VILLAGE	SE	17974
72059	BG	BGS	Бургас	Бургас	true	BGS06	Средец	Средец	Вълчаново	Вълчаново	VILLAGE	SE	17974
15816	BG	BGS	Бургас	Бургас	true	BGS06	Средец	Средец	Голямо Буково	Голямо Буково	VILLAGE	SE	17974
17035	BG	BGS	Бургас	Бургас	true	BGS06	Средец	Средец	Горно Ябълково	Горно Ябълково	VILLAGE	SE	17974
17779	BG	BGS	Бургас	Бургас	true	BGS06	Средец	Средец	Граничар	Граничар	VILLAGE	SE	17974
17720	BG	BGS	Бургас	Бургас	true	BGS06	Средец	Средец	Гранитец	Гранитец	VILLAGE	SE	17974
20273	BG	BGS	Бургас	Бургас	true	BGS06	Средец	Средец	Дебелт	Дебелт	VILLAGE	SE	17974
23529	BG	BGS	Бургас	Бургас	true	BGS06	Средец	Средец	Драка	Драка	VILLAGE	SE	17974
22914	BG	BGS	Бургас	Бургас	true	BGS06	Средец	Средец	Долно Ябълково	Долно Ябълково	VILLAGE	SE	17974
24712	BG	BGS	Бургас	Бургас	true	BGS06	Средец	Средец	Дюлево	Дюлево	VILLAGE	SE	17974
30168	BG	BGS	Бургас	Бургас	true	BGS06	Средец	Средец	Загорци	Загорци	VILLAGE	SE	17974
31379	BG	BGS	Бургас	Бургас	true	BGS06	Средец	Средец	Зорница	Зорница	VILLAGE	SE	17974
36938	BG	BGS	Бургас	Бургас	true	BGS06	Средец	Средец	Кирово	Кирово	VILLAGE	SE	17974
40419	BG	BGS	Бургас	Бургас	true	BGS06	Средец	Средец	Кубадин	Кубадин	VILLAGE	SE	17974
46348	BG	BGS	Бургас	Бургас	true	BGS06	Средец	Средец	Малина	Малина	VILLAGE	SE	17974
29221	BG	BGS	Бургас	Бургас	true	BGS06	Средец	Средец	Момина църква	Момина църква	VILLAGE	SE	17974
53984	BG	BGS	Бургас	Бургас	true	BGS06	Средец	Средец	Орлинци	Орлинци	VILLAGE	SE	17974
58712	BG	BGS	Бургас	Бургас	true	BGS06	Средец	Средец	Проход	Проход	VILLAGE	SE	17974
59015	BG	BGS	Бургас	Бургас	true	BGS06	Средец	Средец	Пънчево	Пънчево	VILLAGE	SE	17974
61563	BG	BGS	Бургас	Бургас	true	BGS06	Средец	Средец	Радойново	Радойново	VILLAGE	SE	17974
63055	BG	BGS	Бургас	Бургас	true	BGS06	Средец	Средец	Росеново	Росеново	VILLAGE	SE	17974
65560	BG	BGS	Бургас	Бургас	true	BGS06	Средец	Средец	Светлина	Светлина	VILLAGE	SE	17974
66585	BG	BGS	Бургас	Бургас	true	BGS06	Средец	Средец	Синьо камене	Синьо камене	VILLAGE	SE	17974
67413	BG	BGS	Бургас	Бургас	true	BGS06	Средец	Средец	Сливово	Сливово	VILLAGE	SE	17974
17974	BG	BGS	Бургас	Бургас	true	BGS06	Средец	Средец	Средец	Средец	CITY	SE	07079
70322	BG	BGS	Бургас	Бургас	true	BGS06	Средец	Средец	Суходол	Суходол	VILLAGE	SE	17974
72967	BG	BGS	Бургас	Бургас	true	BGS06	Средец	Средец	Тракийци	Тракийци	VILLAGE	SE	17974
76039	BG	BGS	Бургас	Бургас	true	BGS06	Средец	Средец	Факия	Факия	VILLAGE	SE	17974
03349	BG	BGS	Бургас	Бургас	true	BGS06	Средец	Средец	Белеврен	Белеврен	VILLAGE	SE	17974
23604	BG	BGS	Бургас	Бургас	true	BGS06	Средец	Средец	Драчево	Драчево	VILLAGE	SE	17974
11096	BG	BGS	Бургас	Бургас	true	BGS08	Камено	Камено	Винарско	Винарско	VILLAGE	SE	35883
12245	BG	BGS	Бургас	Бургас	true	BGS08	Камено	Камено	Вратица	Вратица	VILLAGE	SE	35883
29249	BG	BGS	Бургас	Бургас	true	BGS08	Камено	Камено	Желязово	Желязово	VILLAGE	SE	35883
35883	BG	BGS	Бургас	Бургас	true	BGS08	Камено	Камено	Камено	Камено	CITY	SE	07079
52279	BG	BGS	Бургас	Бургас	true	BGS08	Камено	Камено	Константиново	Константиново	VILLAGE	SE	35883
40381	BG	BGS	Бургас	Бургас	true	BGS08	Камено	Камено	Кръстина	Кръстина	VILLAGE	SE	35883
43623	BG	BGS	Бургас	Бургас	true	BGS08	Камено	Камено	Ливада	Ливада	VILLAGE	SE	35883
57337	BG	BGS	Бургас	Бургас	true	BGS08	Камено	Камено	Полски извор	Полски извор	VILLAGE	SE	35883
63478	BG	BGS	Бургас	Бургас	true	BGS08	Камено	Камено	Русокастро	Русокастро	VILLAGE	SE	35883
65783	BG	BGS	Бургас	Бургас	true	BGS08	Камено	Камено	Свобода	Свобода	VILLAGE	SE	35883
73388	BG	BGS	Бургас	Бургас	true	BGS08	Камено	Камено	Тръстиково	Тръстиково	VILLAGE	SE	35883
73211	BG	BGS	Бургас	Бургас	true	BGS08	Камено	Камено	Трояново	Трояново	VILLAGE	SE	35883
80916	BG	BGS	Бургас	Бургас	true	BGS08	Камено	Камено	Черни връх	Черни връх	VILLAGE	SE	35883
00775	BG	BGS	Бургас	Бургас	true	BGS09	Карнобат	Карнобат	Аспарухово	Аспарухово	VILLAGE	SE	36525
10625	BG	BGS	Бургас	Бургас	true	BGS09	Карнобат	Карнобат	Венец	Венец	VILLAGE	SE	36525
15182	BG	BGS	Бургас	Бургас	true	BGS09	Карнобат	Карнобат	Глумче	Глумче	VILLAGE	SE	36525
20417	BG	BGS	Бургас	Бургас	true	BGS09	Карнобат	Карнобат	Деветак	Деветак	VILLAGE	SE	36525
02765	BG	BGS	Бургас	Бургас	true	BGS09	Карнобат	Карнобат	Детелина	Детелина	VILLAGE	SE	36525
20448	BG	BGS	Бургас	Бургас	true	BGS09	Карнобат	Карнобат	Деветинци	Деветинци	VILLAGE	SE	36525
21508	BG	BGS	Бургас	Бургас	true	BGS09	Карнобат	Карнобат	Добриново	Добриново	VILLAGE	SE	36525
23306	BG	BGS	Бургас	Бургас	true	BGS09	Карнобат	Карнобат	Драгово	Драгово	VILLAGE	SE	36525
