0001054	true	субпродукти – замразени	субпродукти – замразени	субпродукти – замразени	субпродукти – замразени	0001048
0001055	true	заготовки от нераздробено месо – охладени	заготовки от нераздробено месо – охладени	заготовки от нераздробено месо – охладени	заготовки от нераздробено месо – охладени	0001048
0001056	true	заготовки от нераздробено месо - замразени	заготовки от нераздробено месо - замразени	заготовки от нераздробено месо - замразени	заготовки от нераздробено месо - замразени	0001048
0001057	true	заготовки от раздробено месо – охладено	заготовки от раздробено месо – охладено	заготовки от раздробено месо – охладено	заготовки от раздробено месо – охладено	0001048
0001058	true	заготовки от раздробено месо – замразени	заготовки от раздробено месо – замразени	заготовки от раздробено месо – замразени	заготовки от раздробено месо – замразени	0001048
0001059	true	варени и/ или варено-пушени малотрайни колбаси	варени и/ или варено-пушени малотрайни колбаси	варени и/ или варено-пушени малотрайни колбаси	варени и/ или варено-пушени малотрайни колбаси	0001048
0001060	true	варени и/ или варено-пушени продукти от нераздробено месо	варени и/ или варено-пушени продукти от нераздробено месо	варени и/ или варено-пушени продукти от нераздробено месо	варени и/ или варено-пушени продукти от нераздробено месо	0001048
0001061	true	трайни варено-пушени колбаси	трайни варено-пушени колбаси	трайни варено-пушени колбаси	трайни варено-пушени колбаси	0001048
0001062	true	сурово-сушени продукти от раздробено месо	сурово-сушени продукти от раздробено месо	сурово-сушени продукти от раздробено месо	сурово-сушени продукти от раздробено месо	0001048
0001063	true	сурово-сушени продукти от нераздробено месо	сурово-сушени продукти от нераздробено месо	сурово-сушени продукти от нераздробено месо	сурово-сушени продукти от нераздробено месо	0001048
0001064	true	пастети	пастети	пастети	пастети	0001048
0001065	true	Месо от домашни копитни животни - месо от едър рогат добитък	Месо от домашни копитни животни - месо от едър рогат добитък	Месо от домашни копитни животни - месо от едър рогат добитък	Месо от домашни копитни животни - месо от едър рогат добитък	0001020
0001066	true	трупно месо – охладено	трупно месо – охладено	трупно месо – охладено	трупно месо – охладено	0001065
0001067	true	трупно месо – замразено	трупно месо – замразено	трупно месо – замразено	трупно месо – замразено	0001065
0001068	true	разфасовки - охладени	разфасовки - охладени	разфасовки - охладени	разфасовки - охладени	0001065
0001069	true	разфасовки - замразени	разфасовки - замразени	разфасовки - замразени	разфасовки - замразени	0001065
0001070	true	субпродукти – охладени	субпродукти – охладени	субпродукти – охладени	субпродукти – охладени	0001065
0001071	true	субпродукти – замразени	субпродукти – замразени	субпродукти – замразени	субпродукти – замразени	0001065
0001072	true	заготовки от нераздробено месо – охладени	заготовки от нераздробено месо – охладени	заготовки от нераздробено месо – охладени	заготовки от нераздробено месо – охладени	0001065
0001073	true	заготовки от нераздробено месо - замразени	заготовки от нераздробено месо - замразени	заготовки от нераздробено месо - замразени	заготовки от нераздробено месо - замразени	0001065
0001074	true	заготовки от раздробено месо – охладено	заготовки от раздробено месо – охладено	заготовки от раздробено месо – охладено	заготовки от раздробено месо – охладено	0001065
0001075	true	заготовки от раздробено месо – замразени	заготовки от раздробено месо – замразени	заготовки от раздробено месо – замразени	заготовки от раздробено месо – замразени	0001065
0001076	true	варени и/ или варено-пушени малотрайни колбаси	варени и/ или варено-пушени малотрайни колбаси	варени и/ или варено-пушени малотрайни колбаси	варени и/ или варено-пушени малотрайни колбаси	0001065
0001077	true	варени и/ или варено-пушени продукти от нераздробено месо	варени и/ или варено-пушени продукти от нераздробено месо	варени и/ или варено-пушени продукти от нераздробено месо	варени и/ или варено-пушени продукти от нераздробено месо	0001065
0001078	true	трайни варено-пушени колбаси	трайни варено-пушени колбаси	трайни варено-пушени колбаси	трайни варено-пушени колбаси	0001065
0001079	true	сурово-сушени продукти от раздробено месо	сурово-сушени продукти от раздробено месо	сурово-сушени продукти от раздробено месо	сурово-сушени продукти от раздробено месо	0001065
0001080	true	сурово-сушени продукти от нераздробено месо	сурово-сушени продукти от нераздробено месо	сурово-сушени продукти от нераздробено месо	сурово-сушени продукти от нераздробено месо	0001065
0001081	true	пастети	пастети	пастети	пастети	0001065
0001082	true	Месо от домашни копитни животни - месо от дребен рогат добитък	Месо от домашни копитни животни - месо от дребен рогат добитък	Месо от домашни копитни животни - месо от дребен рогат добитък	Месо от домашни копитни животни - месо от дребен рогат добитък	0001020
0001083	true	трупно месо – охладено	трупно месо – охладено	трупно месо – охладено	трупно месо – охладено	0001082
0001084	true	трупно месо – замразено	трупно месо – замразено	трупно месо – замразено	трупно месо – замразено	0001082
0001085	true	разфасовки - охладени	разфасовки - охладени	разфасовки - охладени	разфасовки - охладени	0001082
0001086	true	разфасовки - замразени	разфасовки - замразени	разфасовки - замразени	разфасовки - замразени	0001082
0001087	true	субпродукти – охладени	субпродукти – охладени	субпродукти – охладени	субпродукти – охладени	0001082
0001088	true	субпродукти – замразени	субпродукти – замразени	субпродукти – замразени	субпродукти – замразени	0001082
0001089	true	заготовки от нераздробено месо – охладени	заготовки от нераздробено месо – охладени	заготовки от нераздробено месо – охладени	заготовки от нераздробено месо – охладени	0001082
0001090	true	заготовки от нераздробено месо - замразени	заготовки от нераздробено месо - замразени	заготовки от нераздробено месо - замразени	заготовки от нераздробено месо - замразени	0001082
0001091	true	заготовки от раздробено месо – охладено	заготовки от раздробено месо – охладено	заготовки от раздробено месо – охладено	заготовки от раздробено месо – охладено	0001082
0001092	true	заготовки от раздробено месо – замразени	заготовки от раздробено месо – замразени	заготовки от раздробено месо – замразени	заготовки от раздробено месо – замразени	0001082
0001093	true	варени и/ или варено-пушени малотрайни колбаси	варени и/ или варено-пушени малотрайни колбаси	варени и/ или варено-пушени малотрайни колбаси	варени и/ или варено-пушени малотрайни колбаси	0001082
